City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
90,Troyes,FR,2021-08-14 17:39:31,48.3333,4.0833,86.34,45,0,6.91,clear sky
91,East London,ZA,2021-08-14 17:35:04,-33.0153,27.9116,58.14,77,0,6.91,clear sky
92,Cidreira,BR,2021-08-14 17:39:32,-30.1811,-50.2056,61.83,85,54,17.11,moderate rain
93,Te Anau,NZ,2021-08-14 17:39:32,-45.4167,167.7167,42.93,95,100,6.24,overcast clouds
94,Lompoc,US,2021-08-14 17:39:32,34.6391,-120.4579,70.32,87,40,0.0,scattered clouds
95,Manbij,SY,2021-08-14 17:39:33,36.5281,37.9549,86.77,30,3,17.49,clear sky
96,Pueblo Nuevo,MX,2021-08-14 17:39:33,23.3833,-105.3833,74.01,47,3,5.5,clear sky
97,Caravelas,BR,2021-08-14 17:39:33,-17.7125,-39.2481,76.41,57,10,7.31,clear sky
98,Seoul,KR,2021-08-14 17:35:06,37.5683,126.9778,72.91,73,0,6.91,clear sky
99,Guerrero Negro,MX,2021-08-14 17:39:34,27.9769,-114.0611,81.61,58,21,14.09,few clouds
100,Khilok,RU,2021-08-14 17:39:34,51.3674,110.4676,54.64,89,57,3.78,broken clouds
101,Port Elizabeth,ZA,2021-08-14 17:39:35,-33.918,25.5701,59.29,77,40,11.5,scattered clouds
102,Aleysk,RU,2021-08-14 17:39:35,52.4926,82.7822,56.25,84,100,2.93,overcast clouds
103,Jamestown,US,2021-08-14 17:38:25,42.097,-79.2353,76.32,55,20,3.0,few clouds
104,Marquette,US,2021-08-14 17:35:10,46.5333,-87.6335,75.61,51,18,1.99,few clouds
105,Sao Jose Da Coroa Grande,BR,2021-08-14 17:39:36,-8.8978,-35.1478,77.58,76,51,10.07,broken clouds
106,Avera,US,2021-08-14 17:39:36,33.194,-82.5271,94.68,45,89,5.99,overcast clouds
107,Shaki,AZ,2021-08-14 17:39:37,41.0833,47.1667,86.31,41,82,4.32,broken clouds
108,Channel-Port Aux Basques,CA,2021-08-14 17:39:38,47.5702,-59.1367,70.11,89,49,8.52,scattered clouds
