City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Provideniya,RU,2021-08-09 21:25:46,64.3833,-173.3,50.11,66,75,11.18
101,Ciudad Bolivar,VE,2021-08-09 21:25:47,8.1222,-63.5497,79.25,78,100,2.17
102,Henties Bay,NA,2021-08-09 21:25:47,-22.116,14.2845,55.85,90,15,9.8
103,Hambantota,LK,2021-08-09 21:25:47,6.1241,81.1185,77.34,100,1,10.36
104,Bredasdorp,ZA,2021-08-09 21:25:48,-34.5322,20.0403,42.12,87,1,5.75
105,Arraial Do Cabo,BR,2021-08-09 21:25:48,-22.9661,-42.0278,69.76,83,20,17.27
106,Shenzhen,CN,2021-08-09 21:25:48,22.5455,114.0683,85.21,92,100,4.61
107,Oblivskaya,RU,2021-08-09 21:25:49,48.5362,42.5014,85.62,24,85,16.93
108,Mahenge,TZ,2021-08-09 21:25:49,-8.6833,36.7167,62.01,52,6,2.39
109,Puerto Ayora,EC,2021-08-09 21:25:49,-0.7393,-90.3518,76.96,74,34,12.66
110,Vaini,TO,2021-08-09 21:25:50,-21.2,-175.2,75.36,73,75,10.36
111,Vila Velha,BR,2021-08-09 21:21:46,-20.3297,-40.2925,71.55,78,75,5.75
112,Hare Bay,CA,2021-08-09 21:25:50,48.8499,-54.0148,74.55,44,26,8.86
113,Trinidad,BO,2021-08-09 21:25:50,-14.8333,-64.9,91.38,46,20,6.91
114,Iralaya,HN,2021-08-09 21:25:51,15.0,-83.2333,86.09,68,77,9.19
115,Kawalu,ID,2021-08-09 21:25:51,-7.3817,108.2082,71.8,97,99,1.39
116,Te Anau,NZ,2021-08-09 21:25:52,-45.4167,167.7167,39.78,95,95,2.82
117,Tadine,NC,2021-08-09 21:25:52,-21.55,167.8833,66.42,64,99,19.35
118,Mandera,KE,2021-08-09 21:25:52,3.9366,41.867,78.98,51,99,24.36
119,Buraydah,SA,2021-08-09 21:25:53,26.326,43.975,97.25,12,0,9.42
120,Waipawa,NZ,2021-08-09 21:22:27,-41.4122,175.5153,45.93,75,45,7.36
121,Esperance,AU,2021-08-09 21:25:54,-33.8667,121.9,55.24,67,67,27.54
122,Eureka,US,2021-08-09 21:25:54,40.8021,-124.1637,73.13,69,19,5.01
123,Nikolskoye,RU,2021-08-09 21:25:54,59.7035,30.7861,62.02,87,100,3.51
124,La Palma,US,2021-08-09 21:24:12,33.8464,-118.0467,104.76,53,20,8.01
125,Kavieng,PG,2021-08-09 21:25:55,-2.5744,150.7967,82.33,71,42,8.55
126,Churapcha,RU,2021-08-09 21:25:55,62.0025,132.4325,60.28,51,100,4.68
127,Flinders,AU,2021-08-09 21:25:55,-34.5833,150.8552,49.21,89,1,1.01
128,Nongan,CN,2021-08-09 21:25:56,44.382,125.1685,63.01,84,100,3.6
129,Suez,EG,2021-08-09 21:25:56,29.9737,32.5263,79.7,68,0,12.62
130,Pokosnoye,RU,2021-08-09 21:25:56,55.5258,101.0536,52.2,67,59,2.42
131,Salalah,OM,2021-08-09 21:25:57,17.0151,54.0924,77.09,94,90,6.91
132,Lowestoft,GB,2021-08-09 21:25:57,52.4752,1.7516,60.57,91,100,10.51
133,Yanam,IN,2021-08-09 21:25:58,16.7333,82.2167,81.03,87,100,2.53
134,Porto Novo,BJ,2021-08-09 21:25:58,6.4965,2.6036,76.82,87,89,7.36
135,Kimbe,PG,2021-08-09 21:25:59,-5.5502,150.1429,74.77,92,80,4.63
136,Takoradi,GH,2021-08-09 21:25:59,4.8845,-1.7554,75.94,85,25,7.7
137,Longyearbyen,SJ,2021-08-09 21:21:28,78.2186,15.6401,40.84,93,40,4.61
138,Avarua,CK,2021-08-09 21:25:59,-21.2078,-159.775,78.85,78,75,12.66
139,Grindavik,IS,2021-08-09 21:26:00,63.8424,-22.4338,60.75,88,0,14.97
140,Royan,FR,2021-08-09 21:26:00,45.6285,-1.0281,66.47,79,0,8.05
141,Peniche,PT,2021-08-09 21:26:01,39.3558,-9.3811,66.72,89,0,13.65
142,Muroto,JP,2021-08-09 21:26:01,33.2833,134.15,73.44,75,3,9.53
143,Zambezi,ZM,2021-08-09 21:26:02,-13.5432,23.1047,61.92,25,0,4.5
144,Samarai,PG,2021-08-09 21:26:02,-10.6167,150.6667,78.13,86,33,15.39
145,Shingu,JP,2021-08-09 21:22:36,33.7333,135.9833,76.91,79,0,8.12
